config_id,suite,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,total_params_M,q8_group_size,layer_size_kb,mlp_ratio,kv_ratio,sample_idx
RND_0061,Random_50M_150M,Random_50M_150M,10,480,12,1,16,48,2176,59.471,32,3888.8,4.533,0.083,61
RND_0062,Random_50M_150M,Random_50M_150M,15,640,16,4,48,64,2784,133.887,32,7457.5,4.35,0.25,62
RND_0063,Random_50M_150M,Random_50M_150M,18,512,8,1,32,48,1696,79.295,32,3275.0,3.312,0.125,63
RND_0064,Random_50M_150M,Random_50M_150M,12,608,6,3,32,32,1600,69.809,32,3600.5,2.632,0.5,64
RND_0065,Random_50M_150M,Random_50M_150M,20,512,6,2,16,32,1728,82.789,64,2966.0,3.375,0.333,65
RND_0066,Random_50M_150M,Random_50M_150M,15,544,1,1,48,16,1472,64.452,16,3026.0,2.706,1.0,66
RND_0067,Random_50M_150M,Random_50M_150M,19,416,16,16,16,16,1792,71.525,32,2931.5,4.308,1.0,67
RND_0068,Random_50M_150M,Random_50M_150M,24,384,12,12,32,64,1056,69.766,32,2314.5,2.75,1.0,68
RND_0069,Random_50M_150M,Random_50M_150M,26,416,16,8,48,64,1504,98.826,32,3297.1,3.615,0.5,69
RND_0070,Random_50M_150M,Random_50M_150M,3,640,8,1,64,32,2944,50.789,64,6448.8,4.6,0.125,70
RND_0071,Random_50M_150M,Random_50M_150M,8,576,16,1,48,16,2336,66.273,32,5132.2,4.056,0.062,71
RND_0072,Random_50M_150M,Random_50M_150M,16,608,6,6,48,16,1248,74.489,32,3023.4,2.053,1.0,72
RND_0073,Random_50M_150M,Random_50M_150M,15,544,12,2,16,64,2080,87.431,32,4407.2,3.824,0.167,73
RND_0074,Random_50M_150M,Random_50M_150M,26,416,16,16,64,32,1664,108.171,32,3692.0,4.0,1.0,74
RND_0075,Random_50M_150M,Random_50M_150M,6,640,1,1,48,32,3264,70.396,32,7007.5,5.1,1.0,75
RND_0076,Random_50M_150M,Random_50M_150M,21,448,16,8,48,32,1632,86.678,32,3361.8,3.643,0.5,76
RND_0077,Random_50M_150M,Random_50M_150M,27,480,4,1,32,48,2272,117.695,32,3812.8,4.733,0.25,77
RND_0078,Random_50M_150M,Random_50M_150M,21,384,4,1,64,64,1536,61.651,64,2097.0,4.0,0.25,78
RND_0079,Random_50M_150M,Random_50M_150M,10,608,8,4,48,48,2880,90.117,32,6550.2,4.737,0.5,79
RND_0080,Random_50M_150M,Random_50M_150M,27,512,1,1,16,16,1152,74.448,16,2208.0,2.25,1.0,80
RND_0081,Random_50M_150M,Random_50M_150M,19,576,1,1,32,32,1152,68.216,32,2277.0,2.0,1.0,81
RND_0082,Random_50M_150M,Random_50M_150M,14,640,2,1,64,32,896,58.866,64,1986.2,1.4,0.5,82
RND_0083,Random_50M_150M,Random_50M_150M,26,448,16,8,48,48,1792,112.019,64,3577.0,4.0,0.5,83
RND_0084,Random_50M_150M,Random_50M_150M,17,608,4,4,64,16,2016,99.725,32,4476.9,3.316,1.0,84
RND_0085,Random_50M_150M,Random_50M_150M,22,576,2,2,64,48,2624,134.43,32,5274.0,4.556,1.0,85
RND_0086,Random_50M_150M,Random_50M_150M,19,416,16,4,48,48,1568,73.295,32,3033.9,3.769,0.25,86
RND_0087,Random_50M_150M,Random_50M_150M,12,608,4,4,48,64,1536,70.743,32,3686.0,2.526,1.0,87
RND_0088,Random_50M_150M,Random_50M_150M,26,640,2,1,32,48,1152,93.733,32,2608.8,1.8,0.5,88
RND_0089,Random_50M_150M,Random_50M_150M,26,544,12,3,16,48,1984,125.16,32,4139.5,3.647,0.25,89
RND_0090,Random_50M_150M,Random_50M_150M,26,640,1,1,32,48,2208,145.117,16,5310.0,3.45,1.0,90
RND_0091,Random_50M_150M,Random_50M_150M,24,416,16,1,16,64,1760,87.241,32,3041.2,4.231,0.062,91
RND_0092,Random_50M_150M,Random_50M_150M,12,544,12,1,64,32,1984,74.368,32,4311.6,3.647,0.083,92
RND_0093,Random_50M_150M,Random_50M_150M,20,448,1,1,16,32,1504,63.839,32,2275.0,3.357,1.0,93
RND_0094,Random_50M_150M,Random_50M_150M,4,608,2,2,64,64,3104,54.459,32,6571.6,5.105,1.0,94
RND_0095,Random_50M_150M,Random_50M_150M,25,544,2,2,48,64,2624,140.547,32,4981.0,4.824,1.0,95
RND_0096,Random_50M_150M,Random_50M_150M,16,576,6,6,48,16,2560,106.842,32,5355.0,4.444,1.0,96
RND_0097,Random_50M_150M,Random_50M_150M,18,576,4,2,16,48,2240,102.644,64,4254.8,3.889,0.5,97
RND_0098,Random_50M_150M,Random_50M_150M,4,640,4,1,16,16,3520,59.619,64,7128.8,5.5,0.25,98
RND_0099,Random_50M_150M,Random_50M_150M,21,576,1,1,64,16,2560,123.83,16,5521.5,4.444,1.0,99
RND_0100,Random_50M_150M,Random_50M_150M,21,480,2,1,48,16,1536,72.548,32,2538.8,3.2,0.5,100
RND_0101,Random_50M_150M,Random_50M_150M,14,480,16,2,64,48,2080,79.631,32,4361.2,4.333,0.125,101
RND_0102,Random_50M_150M,Random_50M_150M,26,320,6,3,48,16,1184,50.461,32,1456.2,3.7,0.5,102
RND_0103,Random_50M_150M,Random_50M_150M,13,640,4,2,64,32,1760,80.92,32,4127.5,2.75,0.5,103
RND_0104,Random_50M_150M,Random_50M_150M,9,640,16,2,64,16,3136,94.673,64,7213.8,4.9,0.125,104
RND_0105,Random_50M_150M,Random_50M_150M,19,608,16,4,64,32,2432,137.066,32,6165.5,4.0,0.25,105
RND_0106,Random_50M_150M,Random_50M_150M,25,640,16,4,16,64,1248,117.733,32,3767.5,1.95,0.25,106
RND_0107,Random_50M_150M,Random_50M_150M,6,640,4,1,32,16,2848,65.911,32,6186.2,4.45,0.25,107
RND_0108,Random_50M_150M,Random_50M_150M,22,352,1,1,32,64,1856,62.327,32,2233.0,5.273,1.0,108
RND_0109,Random_50M_150M,Random_50M_150M,14,544,16,1,64,16,2496,94.757,32,5296.6,4.588,0.062,109
RND_0110,Random_50M_150M,Random_50M_150M,9,576,2,1,64,32,3008,77.243,64,5574.4,5.222,0.5,110
RND_0111,Random_50M_150M,Random_50M_150M,24,576,8,8,32,32,1600,109.515,64,3489.8,2.778,1.0,111
RND_0112,Random_50M_150M,Random_50M_150M,18,576,8,2,64,48,1952,101.317,32,4423.5,3.389,0.25,112
RND_0113,Random_50M_150M,Random_50M_150M,22,352,4,2,64,16,1824,63.814,32,2307.2,5.182,0.5,113
RND_0114,Random_50M_150M,Random_50M_150M,18,480,4,2,16,48,2624,95.49,32,4361.2,5.467,0.5,114
RND_0115,Random_50M_150M,Random_50M_150M,11,480,16,8,64,64,1856,69.764,32,4563.8,3.867,0.5,115
RND_0116,Random_50M_150M,Random_50M_150M,26,512,4,2,32,32,1440,88.405,32,2654.0,2.812,0.5,116
RND_0117,Random_50M_150M,Random_50M_150M,14,544,4,2,48,48,2304,84.399,32,4483.8,4.235,0.5,117
RND_0118,Random_50M_150M,Random_50M_150M,25,576,8,4,16,32,1312,93.979,32,2864.2,2.278,0.5,118
RND_0119,Random_50M_150M,Random_50M_150M,24,288,16,16,48,64,576,51.218,32,1685.2,2.0,1.0,119
RND_0120,Random_50M_150M,Random_50M_150M,18,576,1,1,48,32,2720,115.252,32,5274.0,4.722,1.0,120
RND_0121,Random_50M_150M,Random_50M_150M,26,512,16,4,64,16,1856,121.206,64,3816.0,3.625,0.25,121
RND_0122,Random_50M_150M,Random_50M_150M,11,608,4,1,32,48,1632,66.003,32,3547.1,2.684,0.25,122
RND_0123,Random_50M_150M,Random_50M_150M,11,608,1,1,48,48,2304,78.095,16,5282.0,3.789,1.0,123
RND_0124,Random_50M_150M,Random_50M_150M,16,448,16,8,16,64,1888,76.906,32,3739.8,4.214,0.5,124
RND_0125,Random_50M_150M,Random_50M_150M,16,608,12,12,32,64,2432,123.985,32,6422.0,4.0,1.0,125
RND_0126,Random_50M_150M,Random_50M_150M,15,448,6,6,16,32,1312,52.863,32,2227.8,2.929,1.0,126
RND_0127,Random_50M_150M,Random_50M_150M,20,640,16,1,16,32,1248,90.584,32,3216.2,1.95,0.062,127
RND_0128,Random_50M_150M,Random_50M_150M,9,544,4,1,64,32,2368,64.491,32,4541.1,4.353,0.25,128
RND_0129,Random_50M_150M,Random_50M_150M,26,640,1,1,32,32,1472,107.844,32,3205.0,2.3,1.0,129
RND_0130,Random_50M_150M,Random_50M_150M,20,512,12,1,32,64,1728,91.637,64,3425.0,3.375,0.083,130
RND_0131,Random_50M_150M,Random_50M_150M,9,608,1,1,48,32,2208,67.701,32,4541.0,3.632,1.0,131
RND_0132,Random_50M_150M,Random_50M_150M,26,352,4,2,32,64,1056,51.993,32,1453.4,3.0,0.5,132
RND_0133,Random_50M_150M,Random_50M_150M,12,448,4,4,48,32,1632,52.299,32,2731.8,3.643,1.0,133
RND_0134,Random_50M_150M,Random_50M_150M,11,480,1,1,48,16,1728,52.192,16,3120.0,3.6,1.0,134
RND_0135,Random_50M_150M,Random_50M_150M,22,640,4,4,64,64,768,79.08,64,2220.0,1.2,1.0,135
RND_0136,Random_50M_150M,Random_50M_150M,18,512,12,3,32,64,928,64.697,32,2384.0,1.812,0.25,136
RND_0137,Random_50M_150M,Random_50M_150M,12,416,6,3,32,48,2080,55.672,32,3187.4,5.0,0.5,137
RND_0138,Random_50M_150M,Random_50M_150M,18,384,12,4,16,64,2016,69.978,32,3097.5,5.25,0.333,138
RND_0139,Random_50M_150M,Random_50M_150M,23,640,4,2,32,32,2016,126.903,32,4532.5,3.15,0.5,139
RND_0140,Random_50M_150M,Random_50M_150M,14,576,2,2,16,48,2848,99.944,32,5577.8,4.944,1.0,140
RND_0141,Random_50M_150M,Random_50M_150M,17,512,1,1,16,16,2656,95.677,16,5028.0,5.188,1.0,141
RND_0142,Random_50M_150M,Random_50M_150M,27,480,1,1,16,32,1856,97.581,32,2994.4,3.867,1.0,142
RND_0143,Random_50M_150M,Random_50M_150M,28,384,6,6,16,32,1216,64.759,64,1689.0,3.167,1.0,143
RND_0144,Random_50M_150M,Random_50M_150M,24,608,2,1,32,48,1152,84.547,32,2478.3,1.895,0.5,144
RND_0145,Random_50M_150M,Random_50M_150M,25,576,1,1,32,64,960,73.243,64,1845.0,1.667,1.0,145
RND_0146,Random_50M_150M,Random_50M_150M,16,608,2,1,64,32,1984,91.298,32,4177.6,3.263,0.5,146
RND_0147,Random_50M_150M,Random_50M_150M,26,576,4,2,64,32,1248,93.705,32,2742.8,2.167,0.5,147
RND_0148,Random_50M_150M,Random_50M_150M,16,480,2,2,48,16,2112,74.781,32,3483.8,4.4,1.0,148
RND_0149,Random_50M_150M,Random_50M_150M,25,544,12,6,16,48,800,75.702,32,2131.4,1.471,0.5,149
RND_0150,Random_50M_150M,Random_50M_150M,16,512,1,1,64,32,2656,92.612,32,4598.0,5.188,1.0,150
RND_0151,Random_50M_150M,Random_50M_150M,12,480,8,1,64,64,1792,61.748,32,3450.0,3.733,0.125,151
RND_0152,Random_50M_150M,Random_50M_150M,18,384,12,12,64,64,608,53.168,32,2071.5,1.583,1.0,152
RND_0153,Random_50M_150M,Random_50M_150M,19,384,4,4,64,32,1536,58.552,64,2148.0,4.0,1.0,153
RND_0154,Random_50M_150M,Random_50M_150M,24,544,6,6,16,16,1856,105.102,32,3565.8,3.412,1.0,154
RND_0155,Random_50M_150M,Random_50M_150M,19,608,2,1,32,48,2528,120.986,32,5235.7,4.158,0.5,155
RND_0156,Random_50M_150M,Random_50M_150M,22,448,4,4,48,64,2176,95.726,64,3458.0,4.857,1.0,156
RND_0157,Random_50M_150M,Random_50M_150M,14,576,16,8,64,16,1632,83.945,32,4322.2,2.833,0.5,157
RND_0158,Random_50M_150M,Random_50M_150M,20,384,16,1,64,48,1568,70.079,32,2793.8,4.083,0.062,158
RND_0159,Random_50M_150M,Random_50M_150M,18,640,4,4,16,16,3200,145.752,64,6555.0,5.0,1.0,159
RND_0160,Random_50M_150M,Random_50M_150M,15,640,4,2,16,16,1376,73.676,32,3047.5,2.15,0.5,160
RND_0161,Random_50M_150M,Random_50M_150M,25,416,16,1,16,16,2176,94.498,32,3238.6,5.231,0.062,161
RND_0162,Random_50M_150M,Random_50M_150M,14,608,12,4,32,64,2272,101.683,32,5588.4,3.737,0.333,162
RND_0163,Random_50M_150M,Random_50M_150M,24,480,16,16,32,16,2464,127.02,32,4715.6,5.133,1.0,163
RND_0164,Random_50M_150M,Random_50M_150M,12,576,16,8,64,64,2176,95.331,64,5746.5,3.778,0.5,164
RND_0165,Random_50M_150M,Random_50M_150M,22,448,12,4,48,48,2432,109.603,64,4112.5,5.429,0.333,165
RND_0166,Random_50M_150M,Random_50M_150M,27,416,4,1,16,16,1984,89.602,32,2799.9,4.769,0.25,166
RND_0167,Random_50M_150M,Random_50M_150M,19,512,4,2,16,48,1888,84.606,32,3410.0,3.688,0.5,167
RND_0168,Random_50M_150M,Random_50M_150M,25,384,4,4,64,32,2112,87.536,64,2836.5,5.5,1.0,168
RND_0169,Random_50M_150M,Random_50M_150M,11,544,12,12,16,16,2880,83.662,32,5631.2,5.294,1.0,169
RND_0170,Random_50M_150M,Random_50M_150M,24,448,2,1,32,48,1472,72.62,32,2298.6,3.286,0.5,170
RND_0171,Random_50M_150M,Random_50M_150M,17,448,12,3,64,64,1760,77.381,32,3550.8,3.929,0.25,171
RND_0172,Random_50M_150M,Random_50M_150M,28,288,1,1,32,64,1536,53.214,32,1523.2,5.333,1.0,172
RND_0173,Random_50M_150M,Random_50M_150M,8,576,4,2,64,32,1568,53.297,32,3350.2,2.722,0.5,173
RND_0174,Random_50M_150M,Random_50M_150M,9,608,6,3,48,48,2336,73.654,32,5267.8,3.842,0.5,174
RND_0175,Random_50M_150M,Random_50M_150M,18,416,16,2,16,64,1536,66.225,32,2770.6,3.692,0.125,175
RND_0176,Random_50M_150M,Random_50M_150M,23,448,16,1,16,32,1440,75.478,32,2534.9,3.214,0.062,176
RND_0177,Random_50M_150M,Random_50M_150M,26,512,1,1,32,48,2112,112.26,16,4068.0,4.125,1.0,177
RND_0178,Random_50M_150M,Random_50M_150M,12,608,6,2,32,64,1792,75.413,32,4113.5,2.947,0.333,178
RND_0179,Random_50M_150M,Random_50M_150M,28,288,6,2,48,16,1504,55.02,32,1594.1,5.222,0.333,179
RND_0180,Random_50M_150M,Random_50M_150M,28,352,16,1,48,48,800,57.47,32,1564.8,2.273,0.062,180
RND_0181,Random_50M_150M,Random_50M_150M,10,512,12,12,48,16,1344,54.261,64,2966.0,2.625,1.0,181
RND_0182,Random_50M_150M,Random_50M_150M,9,640,16,2,48,64,3008,95.779,64,7341.2,4.7,0.125,182
RND_0183,Random_50M_150M,Random_50M_150M,26,288,16,4,32,48,1440,58.833,32,1877.6,5.0,0.25,183
RND_0184,Random_50M_150M,Random_50M_150M,19,544,1,1,64,32,1472,75.01,32,2762.5,2.706,1.0,184
RND_0185,Random_50M_150M,Random_50M_150M,10,448,2,2,16,16,2240,53.213,32,3377.5,5.0,1.0,185
RND_0186,Random_50M_150M,Random_50M_150M,27,384,2,1,16,32,1600,70.6,64,1975.9,4.167,0.5,186
RND_0187,Random_50M_150M,Random_50M_150M,20,640,4,1,32,48,2048,115.98,64,4355.6,3.2,0.25,187
RND_0188,Random_50M_150M,Random_50M_150M,28,384,12,12,48,64,704,70.952,64,1918.5,1.833,1.0,188
RND_0189,Random_50M_150M,Random_50M_150M,20,448,12,2,64,16,1248,66.133,32,2401.0,2.786,0.167,189
RND_0190,Random_50M_150M,Random_50M_150M,26,352,2,2,48,48,1088,51.114,32,1416.2,3.091,1.0,190
RND_0191,Random_50M_150M,Random_50M_150M,16,544,2,2,64,16,2208,87.816,32,4158.6,4.059,1.0,191
RND_0192,Random_50M_150M,Random_50M_150M,28,352,1,1,16,16,1248,55.262,16,1641.8,3.545,1.0,192
RND_0193,Random_50M_150M,Random_50M_150M,13,608,12,4,32,64,1760,84.462,32,4562.4,2.895,0.333,193
RND_0194,Random_50M_150M,Random_50M_150M,8,512,16,8,64,64,1216,53.274,64,3578.0,2.375,0.5,194
RND_0195,Random_50M_150M,Random_50M_150M,8,640,2,1,48,16,1952,63.151,32,4262.5,3.05,0.5,195
RND_0196,Random_50M_150M,Random_50M_150M,20,544,12,12,16,64,1440,95.275,32,3737.9,2.647,1.0,196
RND_0197,Random_50M_150M,Random_50M_150M,7,512,6,6,32,64,2752,59.465,64,5006.0,5.375,1.0,197
RND_0198,Random_50M_150M,Random_50M_150M,13,480,16,4,48,16,1856,66.88,32,3618.8,3.867,0.25,198
RND_0199,Random_50M_150M,Random_50M_150M,28,352,16,2,48,64,1440,80.178,32,2455.8,4.091,0.125,199
RND_0200,Random_50M_150M,Random_50M_150M,26,416,2,1,64,48,2016,90.0,32,2924.2,4.846,0.5,200
RND_0201,Random_50M_150M,Random_50M_150M,14,512,16,1,32,32,1088,56.956,64,2320.0,2.125,0.062,201
RND_0202,Random_50M_150M,Random_50M_150M,14,608,6,3,48,48,2848,110.672,32,6293.8,4.684,0.5,202
RND_0203,Random_50M_150M,Random_50M_150M,16,512,16,2,48,64,1792,86.32,64,3935.0,3.5,0.125,203
RND_0204,Random_50M_150M,Random_50M_150M,18,576,2,1,32,48,3104,128.025,32,6053.6,5.389,0.5,204
RND_0205,Random_50M_150M,Random_50M_150M,12,640,12,6,64,48,960,69.797,64,3261.2,1.5,0.5,205
RND_0206,Random_50M_150M,Random_50M_150M,28,512,12,3,32,16,1760,111.805,32,3383.0,3.438,0.25,206
RND_0207,Random_50M_150M,Random_50M_150M,8,640,6,3,48,32,2848,79.617,32,6523.8,4.45,0.5,207
RND_0208,Random_50M_150M,Random_50M_150M,22,544,8,8,48,32,2432,130.026,32,5134.0,4.471,1.0,208
RND_0209,Random_50M_150M,Random_50M_150M,8,608,16,4,32,64,1024,54.857,32,3344.0,1.684,0.25,209
RND_0210,Random_50M_150M,Random_50M_150M,28,416,12,4,48,48,1696,98.11,32,3033.9,4.077,0.333,210
RND_0211,Random_50M_150M,Random_50M_150M,13,576,6,3,48,32,1984,78.938,64,3996.6,3.444,0.5,211
RND_0212,Random_50M_150M,Random_50M_150M,23,384,16,16,16,48,480,50.14,32,1477.5,1.25,1.0,212
RND_0213,Random_50M_150M,Random_50M_150M,22,544,8,8,64,16,1248,87.515,32,3011.1,2.294,1.0,213
RND_0214,Random_50M_150M,Random_50M_150M,21,448,16,1,48,64,1728,89.237,64,3301.8,3.857,0.062,214
RND_0215,Random_50M_150M,Random_50M_150M,11,544,4,2,16,48,1312,53.215,32,2590.4,2.412,0.5,215
RND_0216,Random_50M_150M,Random_50M_150M,23,544,2,1,64,64,1568,91.051,32,3049.4,2.882,0.5,216
RND_0217,Random_50M_150M,Random_50M_150M,7,640,4,2,64,32,1440,54.117,32,3452.5,2.25,0.5,217
RND_0218,Random_50M_150M,Random_50M_150M,15,544,1,1,32,64,1088,55.574,32,2074.0,2.0,1.0,218
RND_0219,Random_50M_150M,Random_50M_150M,8,608,1,1,64,32,2208,63.729,32,4562.4,3.632,1.0,219
RND_0220,Random_50M_150M,Random_50M_150M,7,640,6,6,16,48,2848,73.901,32,6557.5,4.45,1.0,220
RND_0221,Random_50M_150M,Random_50M_150M,24,384,12,1,64,64,1632,79.793,32,2773.5,4.25,0.083,221
RND_0222,Random_50M_150M,Random_50M_150M,17,576,6,3,64,32,2784,119.231,32,5841.0,4.833,0.5,222
RND_0223,Random_50M_150M,Random_50M_150M,14,480,1,1,32,48,2432,74.255,16,4376.2,5.067,1.0,223
RND_0224,Random_50M_150M,Random_50M_150M,28,544,12,1,64,16,1504,111.969,32,3326.7,2.765,0.083,224
RND_0225,Random_50M_150M,Random_50M_150M,6,640,1,1,32,64,3424,72.362,32,7367.5,5.35,1.0,225
RND_0226,Random_50M_150M,Random_50M_150M,23,448,8,8,48,16,2272,103.34,32,3865.8,5.071,1.0,226
RND_0227,Random_50M_150M,Random_50M_150M,24,320,16,1,48,64,992,53.592,32,1720.6,3.1,0.062,227
RND_0228,Random_50M_150M,Random_50M_150M,23,416,6,3,64,16,1536,71.924,32,2441.6,3.692,0.5,228
RND_0229,Random_50M_150M,Random_50M_150M,27,544,6,3,48,16,1920,120.462,32,3795.2,3.529,0.5,229
RND_0230,Random_50M_150M,Random_50M_150M,25,320,8,4,16,64,1664,63.731,64,1981.2,5.2,0.5,230
